time,violation
2025-06-04 01:12:35,No Helmet
2025-06-04 01:12:35,No Helmet
2025-06-04 01:13:46,No Helmet
2025-06-04 01:13:46,No Helmet
2025-06-04 01:13:46,No Helmet
2025-06-04 01:13:46,No Helmet
2025-06-04 01:15:21,No Helmet
2025-06-04 01:15:21,No Helmet
2025-06-04 01:15:21,No Helmet
2025-06-04 01:15:21,No Helmet
2025-06-04 01:15:50,No Helmet
2025-06-04 01:15:50,No Helmet
2025-06-04 01:15:52,No Helmet
2025-06-04 01:15:54,No Helmet
2025-06-04 01:15:54,No Helmet
2025-06-04 01:15:56,No Helmet
2025-06-04 01:15:56,No Helmet
2025-06-04 01:16:00,No Helmet
2025-06-04 01:16:00,No Helmet
2025-06-04 01:16:01,No Helmet
2025-06-04 01:16:01,No Helmet
2025-06-04 01:16:02,No Helmet
2025-06-04 01:16:02,No Helmet
2025-06-04 01:16:02,No Helmet
2025-06-04 01:16:02,No Helmet
2025-06-04 01:16:02,No Helmet
2025-06-04 01:16:03,No Helmet
2025-06-04 01:16:05,No Helmet
2025-06-04 01:16:08,No Helmet
2025-06-04 01:16:08,No Helmet
2025-06-04 01:16:08,No Helmet
2025-06-04 01:16:08,No Helmet
2025-06-04 01:16:08,No Helmet
2025-06-04 01:16:09,No Helmet
2025-06-04 01:16:09,No Helmet
2025-06-04 01:16:10,No Helmet
2025-06-04 01:16:10,No Helmet
2025-06-04 01:16:11,No Helmet
2025-06-04 01:16:11,No Helmet
2025-06-04 01:16:11,No Helmet
2025-06-04 01:16:11,No Helmet
2025-06-04 01:16:12,No Helmet
2025-06-04 01:16:13,No Helmet
2025-06-04 01:16:14,No Helmet
2025-06-04 01:16:14,No Helmet
2025-06-04 01:16:39,No Helmet
2025-06-04 01:16:39,No Helmet
2025-06-04 01:16:40,No Helmet
2025-06-04 01:16:40,No Helmet
2025-06-04 07:38:12,No Helmet
2025-06-04 07:38:12,No Helmet
2025-06-04 07:38:13,No Helmet
2025-06-04 07:38:14,No Helmet
2025-06-04 07:38:14,No Helmet
2025-06-04 07:38:14,No Helmet
2025-06-04 07:38:15,No Helmet
2025-06-04 07:38:15,No Helmet
2025-06-04 07:38:15,No Helmet
2025-06-04 07:38:15,No Helmet
2025-06-04 07:38:15,No Helmet
2025-06-04 07:38:15,No Helmet
2025-06-04 07:38:15,No Helmet
2025-06-04 07:38:16,No Helmet
2025-06-04 07:38:21,No Helmet
2025-06-04 07:38:24,No Helmet
2025-06-04 07:38:24,No Helmet
2025-06-04 07:38:24,No Helmet
2025-06-04 07:38:25,No Helmet
2025-06-04 07:38:34,No Helmet
2025-06-04 07:38:42,No Helmet
2025-06-04 07:41:04,No Helmet
2025-06-04 07:41:04,No Helmet
2025-06-04 07:41:19,No Helmet
2025-06-04 07:41:19,No Helmet
2025-06-04 07:41:19,No Helmet
2025-06-04 07:53:01,No Helmet
2025-06-04 07:53:02,No Helmet
2025-06-04 07:53:02,No Helmet
2025-06-04 07:53:03,No Helmet
2025-06-04 07:53:03,No Helmet
2025-06-04 07:53:03,No Helmet
2025-06-04 07:53:03,No Helmet
2025-06-04 07:53:03,No Helmet
2025-06-04 07:53:03,No Helmet
2025-06-04 07:53:03,No Helmet
2025-06-04 07:53:03,No Helmet
2025-06-04 07:53:04,No Helmet
2025-06-04 07:53:04,No Helmet
2025-06-04 07:53:04,No Helmet
2025-06-04 07:53:08,No Helmet
2025-06-04 07:53:10,No Helmet
2025-06-04 07:53:10,No Helmet
2025-06-04 07:53:10,No Helmet
2025-06-04 07:53:10,No Helmet
2025-06-04 07:53:17,No Helmet
2025-06-04 07:53:23,No Helmet
2025-06-04 07:57:17,No Helmet
2025-06-04 07:57:17,No Helmet
2025-06-04 07:57:18,No Helmet
